SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,diferencia_de_goles,puntos
2023-2024,Bayern Munich,6,5,1,0,12,6,6,16
2023-2024,FC Copenhagen,6,2,2,2,8,8,0,8
2023-2024,Galatasaray,6,1,2,3,10,13,-3,5
2023-2024,Manchester Utd,6,1,1,4,12,15,-3,4
2023-2024,Arsenal,6,4,1,1,16,4,12,13
2023-2024,PSV Eindhoven,6,2,3,1,8,10,-2,9
2023-2024,Lens,6,2,2,2,6,11,-5,8
2023-2024,Sevilla,6,0,2,4,7,12,-5,2
2023-2024,Real Madrid,6,6,0,0,16,7,9,18
2023-2024,Napoli,6,3,1,2,10,9,1,10
2023-2024,Braga,6,1,1,4,6,12,-6,4
2023-2024,Union Berlin,6,0,2,4,6,10,-4,2
2023-2024,Real Sociedad,6,3,3,0,7,2,5,12
2023-2024,Inter,6,3,3,0,8,5,3,12
2023-2024,Benfica,6,1,1,4,7,11,-4,4
2023-2024,RB Salzburg,6,1,1,4,4,8,-4,4
2023-2024,Atlético Madrid,6,4,2,0,17,6,11,14
2023-2024,Lazio,6,3,1,2,7,7,0,10
2023-2024,Feyenoord,6,2,0,4,9,10,-1,6
2023-2024,Celtic,6,1,1,4,5,15,-10,4
2023-2024,Dortmund,6,3,2,1,7,4,3,11
2023-2024,Paris S-G,6,2,2,2,9,8,1,8
2023-2024,Milan,6,2,2,2,5,8,-3,8
2023-2024,Newcastle Utd,6,1,2,3,6,7,-1,5
2023-2024,Manchester City,6,6,0,0,18,7,11,18
2023-2024,RB Leipzig,6,4,0,2,13,10,3,12
2023-2024,Young Boys,6,1,1,4,7,13,-6,4
2023-2024,Red Star,6,0,1,5,7,15,-8,1
2023-2024,Barcelona,6,4,0,2,12,6,6,12
2023-2024,Porto,6,4,0,2,15,8,7,12
2023-2024,Shakhtar,6,3,0,3,10,12,-2,9
2023-2024,Antwerp,6,1,0,5,6,17,-11,3
